Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Latitude,Longitude,cluster
Thailand,Khao Wong,66.0,2.0,19.0,2.0,66,16.6889228,104.087874,0
Indonesia,Pecangakan,136.25,3.0,10.0,2.5,135,-6.9187681,109.5423071,0
Thailand,Bo Rai,40.0,1.0,15.0,1.0,40,12.5763363,102.5388043,1
Philippines,Bugo,53.0,1.0,18.0,2.5,53,8.5074399,124.7547847,0
Malaysia,Bukit Mertajam,136.25,3.0,24.0,2.5,135,5.3642519,100.4609867,0
Philippines,Buluangan,73.0,1.0,27.0,2.0,73,10.5572719,122.5477225,1
Indonesia,Dumai,70.0,2.0,16.0,0.0,70,1.6631967,101.4470369,1
Philippines,Manukan,36.0,1.0,21.0,0.0,36,8.5157792,123.0942844,1
Thailand,Khon Kaen,96.0,2.0,20.0,2.5,96,16.6022387,102.6352933,0
Malaysia,Kinarut,54.0,2.0,11.0,2.5,54,5.8244279,116.0431553,0
Indonesia,Lahat,109.0,3.5,3.0,2.5,109,-3.87934575,103.41408633497844,0
Indonesia,Lhokseumawe,88.0,2.0,21.0,2.0,88,5.1789659,97.1480544,0
Malaysia,Seremban,136.25,3.0,14.0,2.5,135,2.718407,101.94106957295432,0
Indonesia,Samarinda,57.0,1.0,7.0,2.0,57,-0.5154238,117.2578649,0
Indonesia,Sampang,53.0,1.0,20.0,0.0,53,-7.05781575,113.25405409767842,1
Philippines,San Luis,136.25,2.0,26.0,2.5,135,13.8549002,120.9162216,0
Philippines,Santiago,62.0,1.0,13.0,2.5,62,16.6915963,121.5478637,0
